"title","type","release_year","age_certification","runtime","seasons","imdb_score","imdb_votes","tmdb_popularity","tmdb_score","main_genre","country"
"72 Dangerous Places to Live","SHOW",2016,"TV-PG",49,1,6.2,344,2.022,6,"documentation","Australia"
"Paquita Salas","SHOW",2016,NA,26,3,8,3087,8.8,7.1,"comedy","Spain"
"Smoke & Mirrors","MOVIE",2016,"R",123,NA,6.9,7900,7.807,6.5,"thriller","Spain"
"Nightmare Teacher","SHOW",2016,"TV-MA",16,1,7.1,423,5.984,8.4,"drama","Korea"
"Три кота","SHOW",2015,"TV-Y",5,3,6.8,95,1.92,8,"scifi","Other"
"I Called Him Morgan","MOVIE",2016,NA,91,NA,7.3,1785,5.671,7.2,"music","Other"
"The Next Skin","MOVIE",2016,NA,100,NA,6.2,1820,5.821,5.9,"thriller","Spain"
"Old Money","SHOW",2015,"TV-MA",47,1,7.3,493,3.098,6.3,"comedy","Other"
"Belgica","MOVIE",2016,NA,127,NA,6.7,4478,7.006,5.8,"drama","France"
"Taxi Driver","MOVIE",2015,NA,100,NA,6,68,1.244,5.4,"crime","Nigeria"
"XOXO","MOVIE",2016,NA,92,NA,5.3,6981,18.472,6,"music","USA"
"The White Helmets","MOVIE",2016,NA,40,NA,NA,NA,6.399,7.4,"war","Other"
"Rainbow Ruby","SHOW",2016,"TV-Y",11,4,6.5,77,6.616,10,"animation","China"
"Ali Wong: Baby Cobra","MOVIE",2016,NA,60,NA,7.5,6925,6.777,7.4,"comedy","USA"
"Fearless","SHOW",2016,NA,43,2,7.1,299,2.313,8,"documentation","USA"
"The Lion Woman","MOVIE",2016,"PG-13",126,NA,6.6,1408,27.507,6.9,"drama","Other"
"Prem Ratan Dhan Payo","MOVIE",2015,NA,164,NA,4.4,21487,6.712,5.8,"action","India"
"The Beginning of Life","MOVIE",2016,"G",98,NA,7.6,934,1.706,7.7,"documentation","Brazil"
"Pyaar Ka Punchnama 2","MOVIE",2015,"PG-13",159,NA,7.3,14968,4.232,7,"comedy","India"
"Atelier","SHOW",2015,"TV-14",69,1,6.3,7,4.985,7.8,"drama","Japan"
"The Truth Seekers","SHOW",2016,"TV-MA",44,1,7.1,16,2.561,NA,"drama","Other"
"Chris Tucker: Live","MOVIE",2015,NA,92,NA,6.3,1936,5.081,6,"comedy","USA"
"Schubert in Love","MOVIE",2016,NA,95,NA,5,356,4.63,5.4,"comedy","Germany"
"Chelsea","SHOW",2016,"TV-MA",57,2,6.1,2051,19.427,5.1,"comedy","USA"
"Home: Adventures with Tip & Oh","SHOW",2016,"TV-Y7",21,4,5.9,603,7.217,7,"comedy","USA"
"Dinosaur World","MOVIE",2015,NA,65,NA,NA,NA,NA,NA,"animation","India"
"Raman Raghav 2.0","MOVIE",2016,NA,134,NA,7.4,14380,8.674,7.1,"thriller","India"
"White Rabbit Project","SHOW",2016,"TV-PG",48,1,6.9,1665,4.026,7,"reality","USA"
"Witch Hunt: A Century of Murder","SHOW",2015,"TV-14",46,1,7.2,319,0.862,NA,"crime","UK"
"The Princess Weiyoung","SHOW",2016,"TV-14",45,1,7.9,767,8.08,7.2,"drama","China"
"Mind Game","SHOW",2015,"TV-14",44,1,7.5,12,NA,NA,"drama","Japan"
"Chelsea Does","SHOW",2016,"TV-MA",60,1,7.3,2471,4.073,6.5,"documentation","USA"
"Real Rob","SHOW",2015,"TV-14",31,2,6.4,2801,6.72,6,"comedy","USA"
"Slam","MOVIE",2016,NA,100,NA,6.1,1308,7.597,5.8,"comedy","Italy"
"Gridlocked","MOVIE",2016,"R",114,NA,5.8,4570,15.967,5.8,"action","Canada"
"Jessica Darling's It List","MOVIE",2016,NA,79,NA,5.5,973,10.978,6,"family","USA"
"StoryBots Super Songs","SHOW",2016,"TV-Y",21,1,8.8,167,0.878,9,"animation","USA"
"Chocolate City: Vegas Strip","MOVIE",2016,"PG-13",89,NA,3.7,297,5.246,6.5,"drama","USA"
"Journey to Greenland","MOVIE",2016,NA,98,NA,6.3,1336,4.917,6.2,"drama","Other"
"Fifty","MOVIE",2015,NA,101,NA,6.1,259,2.487,5.3,"romance","Nigeria"
"All About Asado","MOVIE",2016,NA,90,NA,6.5,566,2.513,6.4,"documentation","Argentina"
"Phantom","MOVIE",2015,NA,136,NA,5.9,9145,3.704,5.6,"thriller","India"
"The Ivory Game","MOVIE",2016,NA,112,NA,7.9,3243,7.433,7.6,"documentation","USA"
"HiGH&LOW: The Red Rain","MOVIE",2016,NA,110,NA,6.2,277,3.884,7,"action","Japan"
"Lens","MOVIE",2016,NA,109,NA,6.6,1212,2.331,7.1,"thriller","India"
